"","P1","P2","NF1-LC","(LC) NF2-T","NF3-NACI","NF5-NACI","NF4-NACI","NF6-NACI","MF1-LC","MF2-LC"
"BAYW",0,0,0,0,0,1,0,0,0,0
"BBNW",0,0,0,1,0,0,0,0,1,1
"BGTA",1,0,0,0,0,0,0,0,0,0
"BLVU",1,0,0,0,0,0,0,0,0,0
"BOBF",1,1,1,1,1,0,0,0,0,0
"BRJA",1,1,1,0,1,1,1,1,1,1
"BTSA",0,1,0,0,1,1,1,0,0,0
"BVHU",0,0,0,0,0,0,0,1,0,0
"CABW",1,1,1,1,1,1,1,1,1,1
"CAWA",0,0,1,0,0,0,0,0,0,0
"CCTH",1,0,1,1,1,1,0,0,0,0
"COPA",0,0,0,0,1,0,0,0,1,0
"COTF",1,0,0,0,0,0,0,0,0,0
"CRGU",0,0,0,0,0,0,0,0,1,0
"DCFL",1,1,1,1,1,0,1,0,1,0
"EAME",0,1,0,0,0,0,0,0,0,0
"GCYE",1,1,0,0,0,1,1,1,0,0
"GHEC",0,0,0,0,0,1,0,0,0,0
"GKIS",1,0,1,0,0,0,0,0,0,0
"GTGR",1,0,1,0,0,0,0,0,0,0
"HETA",1,0,0,0,0,0,0,0,0,0
"HOWO",1,1,1,0,1,0,1,0,0,1
"HOWR",1,1,1,1,1,0,0,1,0,0
"KBTO",0,0,0,1,0,0,0,0,0,0
"LAFA",0,0,0,0,0,0,1,0,0,0
"LEMO",0,0,1,1,0,1,1,0,1,1
"LESG",0,0,0,0,0,0,1,0,0,0
"LEVI",0,0,1,0,0,0,0,0,0,0
"LIWO",0,0,0,0,1,0,0,0,0,0
"LOTM",0,0,1,1,1,1,1,0,1,1
"MATI",0,0,1,0,0,0,0,0,0,0
"MOEL",0,0,0,1,0,0,0,0,0,0
"NOET",0,0,0,1,0,1,1,0,1,1
"OBNT",0,0,1,1,1,1,1,1,1,1
"OBTR",0,0,1,1,0,0,0,0,1,0
"OLWO",0,0,1,0,1,0,0,0,1,1
"OVEN",0,0,1,0,1,0,0,0,1,0
"PHVI",0,0,0,0,1,0,0,0,0,0
"RAWW",0,0,1,1,1,1,1,0,1,1
"RBGR",1,0,0,0,0,0,0,0,0,0
"RBPE",0,0,0,0,1,1,1,0,1,0
"RBPI",1,0,1,1,1,0,1,1,0,1
"RCWA",1,0,1,1,1,0,1,1,1,1
"RTAH",0,0,0,1,0,0,0,0,0,0
"SHWO",0,1,1,1,0,0,0,0,1,0
"SOFL",1,1,0,0,0,0,0,0,0,0
"SQCU",1,0,0,0,0,0,1,0,1,0
"SWTH",1,0,1,0,0,0,0,0,0,0
"THTI",0,0,1,1,1,0,0,0,0,0
"TRKI",1,0,0,0,0,0,0,0,0,0
"TUVU",0,0,1,1,0,0,0,0,0,0
"TWBE",1,0,0,0,0,0,1,0,0,0
"WEGS",1,0,1,1,1,1,1,1,1,1
"WFPA",1,1,1,1,0,0,1,0,0,0
"WIWA",0,0,0,1,0,0,0,0,0,0
"WOTH",0,0,1,0,0,0,0,0,0,0
"WTDO",0,1,1,0,1,1,1,0,0,0
"WTMJ",1,0,0,0,0,0,0,0,0,0
"YCEU",1,0,1,0,0,0,0,0,0,0
"YEWA",1,0,0,0,0,0,0,0,0,0
"YFGR",1,0,0,0,1,1,1,1,0,0
